Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles
Pottere Wood,"£59,000",Freehold,about 2 ½ acres,51.7061,-0.240244,"GPS coordinates: 51.7061, -0.240244",https://www.woodlands.co.uk/buying-a-wood/east-anglia/pottere-wood,Borehamwood,51.6578,-0.2722,3.607
Byng Wood,"£49,000",Freehold,over 1 ¾ acres,51.7053,-0.239708,"GPS coordinates: 51.7053, -0.239708",https://www.woodlands.co.uk/buying-a-wood/east-anglia/byng-wood,Borehamwood,51.6578,-0.2722,3.565
Plantation Wood,"£129,000",Freehold,just over 7 acres,52.1114,-0.788175,"GPS coordinates: 52.1114, -0.788175",https://www.woodlands.co.uk/buying-a-wood/east-anglia/plantation-wood,Shenley Brook End,52.009,-0.789,7.075
Hornbill Wood,"£109,000",Freehold,about 3 ⅔ acres,51.6702,-1.20034,"GPS coordinates: 51.6702, -1.20034",https://www.woodlands.co.uk/buying-a-wood/central-england/hornbill-wood,Abingdon,51.6717,-1.2783,3.342
Flittern Wood,"£79,000",Freehold,about 2 ¾ acres,51.6702,-1.20274,"GPS coordinates: 51.6702, -1.20274",https://www.woodlands.co.uk/buying-a-wood/central-england/flittern-wood,Abingdon,51.6717,-1.2783,3.239
Ferris Meadow,"£179,000",Freehold,about 7 ½ acres,51.3266,-0.0167885,"GPS coordinates: 51.3266, -0.0167885",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-east/ferris-meadow,Croydon,51.3727,-0.1099,5.127
Tanner Meadow,"£99,000",Freehold,just under 4 acres,51.3259,-0.0170245,"GPS coordinates: 51.3259, -0.0170245",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-east/tanner-meadow,Croydon,51.3727,-0.1099,5.15
Sceptre Wood,"£99,000",Freehold,3 ¾ acres,51.3682,0.148233,"GPS coordinates: 51.3682, 0.148233",https://www.woodlands.co.uk/buying-a-wood/south-east-england/sceptre-wood,Bexleyheath,51.459,0.138,6.289
Leader Copse,"£145,000",Freehold,about 6 acres,51.335,-1.15291,"GPS coordinates: 51.335, -1.15291",https://www.woodlands.co.uk/buying-a-wood/central-england/leader-copse,Basingstoke,51.2667,-1.0876,5.498
Rimes Wood,"£75,000",Freehold,over 3 acres,51.3335,-1.1543,"GPS coordinates: 51.3335, -1.1543",https://www.woodlands.co.uk/buying-a-wood/central-england/rimes-wood,Basingstoke,51.2667,-1.0876,5.441
South Newdigate Wood,"£89,000",Freehold,5 acres,51.1375,-0.252537,"GPS coordinates: 51.1375, -0.252537",https://www.woodlands.co.uk/buying-a-wood/south-east-england/south-newdigate-wood,Coulsdon,51.3211,-0.1386,13.61
South Longfield Wood,"£65,000",Freehold,3 ½ acres,51.1371,-0.254081,"GPS coordinates: 51.1371, -0.254081",https://www.woodlands.co.uk/buying-a-wood/south-east-england/south-longfield-wood,Coulsdon,51.3211,-0.1386,13.66
Hillfort Wood,"£85,000",Freehold,over 5½ acres,51.1714,0.29588,"GPS coordinates: 51.1714, 0.29588",https://www.woodlands.co.uk/buying-a-wood/south-east-england/hillfort-wood,Royal Tunbridge Wells,51.132,0.263,3.073
Dew Meadow,"£79,000",Freehold,about 2 ¾ acres,50.9544,-0.514037,"GPS coordinates: 50.9544, -0.514037",https://www.woodlands.co.uk/buying-a-wood/south-east-england/dew-meadow,Littlehampton,50.8094,-0.5409,10.087
Clydesdale Wood,"£79,000",Freehold,5 ¾ acres,51.3159,0.590239,"GPS coordinates: 51.3159, 0.590239",https://www.woodlands.co.uk/buying-a-wood/south-east-england/clydesdale-wood,Rainham,51.36,0.61,3.164
Axil Wood,"£109,000",Freehold,about 4 acres,51.1244,-1.37518,"GPS coordinates: 51.1244, -1.37518",https://www.woodlands.co.uk/buying-a-wood/central-england/axil-wood,Andover,51.208,-1.48,7.348
Brockley Wood,"£99,000",Freehold,about 3 ⅔ acres,51.125,-1.37655,"GPS coordinates: 51.125, -1.37655",https://www.woodlands.co.uk/buying-a-wood/central-england/brockley-wood,Andover,51.208,-1.48,7.278
Monkswood Wood,"£95,000",Freehold,about 6 acres,51.2502,0.638054,"GPS coordinates: 51.2502, 0.638054",https://www.woodlands.co.uk/buying-a-wood/south-east-england/monkswood-wood,Maidstone,51.272,0.529,4.95
Crossing Wood,"£85,000",Freehold,3 acres,51.0877,0.395163,"GPS coordinates: 51.0877, 0.395163",https://www.woodlands.co.uk/buying-a-wood/south-east-england/crossing-wood,Royal Tunbridge Wells,51.132,0.263,6.499
Dado Wood,"£89,000",Freehold,3 ½ acres,51.0882,0.397135,"GPS coordinates: 51.0882, 0.397135",https://www.woodlands.co.uk/buying-a-wood/south-east-england/dado-wood,Royal Tunbridge Wells,51.132,0.263,6.559
Groove Wood,"£109,000",Freehold,about 5 ½ acres,51.0869,0.396211,"GPS coordinates: 51.0869, 0.396211",https://www.woodlands.co.uk/buying-a-wood/south-east-england/groove-wood,Royal Tunbridge Wells,51.132,0.263,6.565
Gliding Wood,"£79,000",Freehold,4 acres,51.0872,0.399025,"GPS coordinates: 51.0872, 0.399025",https://www.woodlands.co.uk/buying-a-wood/south-east-england/gliding-wood,Royal Tunbridge Wells,51.132,0.263,6.663
Sudbury Wood,"£85,000",Freehold,about 4 acres,51.9536,0.902063,"GPS coordinates: 51.9536, 0.902063",https://www.woodlands.co.uk/buying-a-wood/east-anglia/sudbury-wood,Colchester,51.8917,0.903,4.277
St. Martins Wood,"£79,000",Freehold,about 3 ½ acres,51.9519,0.903203,"GPS coordinates: 51.9519, 0.903203",https://www.woodlands.co.uk/buying-a-wood/east-anglia/st-martins-wood,Colchester,51.8917,0.903,4.159
Lake View Wood,"£49,000",Freehold,nearly 2 acres,51.9543,0.90493,"GPS coordinates: 51.9543, 0.90493",https://www.woodlands.co.uk/buying-a-wood/east-anglia/lake-view-wood,Colchester,51.8917,0.903,4.326
Staggard Wood,"£69,000",Freehold,about 3 acres,51.9548,0.905509,"GPS coordinates: 51.9548, 0.905509",https://www.woodlands.co.uk/buying-a-wood/east-anglia/staggard-wood,Colchester,51.8917,0.903,4.361
Finesteda Wood,"£165,000",Freehold,about 8 ⅓ acres,51.9549,0.907801,"GPS coordinates: 51.9549, 0.907801",https://www.woodlands.co.uk/buying-a-wood/east-anglia/finesteda-wood,Colchester,51.8917,0.903,4.371
Soames Meadow,"£135,000",Freehold,about 6 ¾ acres,51.0769,0.559729,"GPS coordinates: 51.0769, 0.559729",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-east/soames-meadow,Royal Tunbridge Wells,51.132,0.263,13.424
Arris Wood,"£145,000",Freehold,7 ½ acres,51.0932,0.619193,"GPS coordinates: 51.0932, 0.619193",https://www.woodlands.co.uk/buying-a-wood/south-east-england/arris-wood,Maidstone,51.272,0.529,12.957
Lens Wood,"£65,000",Freehold,3 ¼ acres,51.092,0.621184,"GPS coordinates: 51.092, 0.621184",https://www.woodlands.co.uk/buying-a-wood/south-east-england/lens-wood,Maidstone,51.272,0.529,13.062
Tassel Meadow,"£75,000",Freehold,over 3 ¾ acres,51.0889,0.634163,"GPS coordinates: 51.0889, 0.634163",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-east/tassel-meadow,Maidstone,51.272,0.529,13.446
Wispy Wood,"£125,000",Freehold,8 ¼ acres,51.0925,0.801982,"GPS coordinates: 51.0925, 0.801982",https://www.woodlands.co.uk/buying-a-wood/south-east-england/wispy-wood,Folkestone,51.0792,1.1794,16.406
Rondel Wood,"£95,000",Freehold,6 ½ acres,51.0947,0.804976,"GPS coordinates: 51.0947, 0.804976",https://www.woodlands.co.uk/buying-a-wood/south-east-england/rondel-wood,Folkestone,51.0792,1.1794,16.285
Reamy Wood,"£95,000",Freehold,6 ¾ acres,51.0933,0.803216,"GPS coordinates: 51.0933, 0.803216",https://www.woodlands.co.uk/buying-a-wood/south-east-england/reamy-wood,Folkestone,51.0792,1.1794,16.356
Hurdle Wood,"£75,000",Freehold,4 ¾ acres,50.9824,0.633456,"GPS coordinates: 50.9824, 0.633456",https://www.woodlands.co.uk/buying-a-wood/south-east-england/hurdle-wood,Hastings,50.85,0.57,9.556
Duch Wood,"£159,000",Freehold,about 12 ¾ acres,52.3911,0.873877,"GPS coordinates: 52.3911, 0.873877",https://www.woodlands.co.uk/buying-a-wood/east-anglia/duch-wood,Norwich,52.6286,1.2928,24.075
Whin Wood,"£69,000",Freehold,about 4 acres,51.226,1.01429,"GPS coordinates: 51.226, 1.01429",https://www.woodlands.co.uk/buying-a-wood/south-east-england/whin-wood,Herne Bay,51.37,1.13,11.135
Red Wood,"£89,000",Freehold,about 5 ½ acres,52.05,1.23568,"GPS coordinates: 52.05, 1.23568",https://www.woodlands.co.uk/buying-a-wood/east-anglia/red-wood,Colchester,51.8917,0.903,17.893
Little Owl Wood,"£89,000",Freehold,over 5 acres,52.0471,1.23803,"GPS coordinates: 52.0471, 1.23803",https://www.woodlands.co.uk/buying-a-wood/east-anglia/little-owl-wood,Colchester,51.8917,0.903,17.851
Great Hart Wood,"£69,000",Freehold,about 4 acres,52.0496,1.23879,"GPS coordinates: 52.0496, 1.23879",https://www.woodlands.co.uk/buying-a-wood/east-anglia/great-hart-wood,Colchester,51.8917,0.903,17.981
Calamint Wood,"£109,000",Freehold,about 6 acres,50.7075,-1.15047,"GPS coordinates: 50.7075, -1.15047",https://www.woodlands.co.uk/buying-a-wood/central-england/calamint-wood,Portsmouth,50.8058,-1.0872,7.333
Conigre Wood,"£95,000",Freehold,about 3 ⅓ acres,51.3413,-2.2223,"GPS coordinates: 51.3413, -2.2223",https://www.woodlands.co.uk/buying-a-wood/central-england/conigre-wood,Trowbridge,51.32,-2.208,1.596
Herrywell Wood,"£149,000",Freehold,just under 7 ¼ acres,52.8901,-1.03885,"GPS coordinates: 52.8901, -1.03885",https://www.woodlands.co.uk/buying-a-wood/northern-england/herrywell-wood,West Bridgford,52.932,-1.127,4.677
Maiden Meadow,"£169,000",,about 10 acres,51.7665,-2.46663,"GPS coordinates: 51.7665, -2.46663",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/maiden-meadow,Gloucester,51.8667,-2.25,11.556
Swift Meadow,"£89,000",Freehold,about 4 ¾ acres,51.3052,-2.47492,"GPS coordinates: 51.3052, -2.47492",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/swift-meadow,Bath,51.38,-2.36,7.163
Hawks Meadow,"£89,000",Freehold,over 4 ¾ acres,51.303,-2.47603,"GPS coordinates: 51.303, -2.47603",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/hawks-meadow,Bath,51.38,-2.36,7.306
Lakins Meadow,"£75,000",Freehold,around 4 ¾ acres,51.3,-2.47793,"GPS coordinates: 51.3, -2.47793",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/lakins-meadow,Bath,51.38,-2.36,7.514
Paigle Meadow,"£85,000",Freehold,almost 5 ½ acres,51.3006,-2.47936,"GPS coordinates: 51.3006, -2.47936",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/paigle-meadow,Bath,51.38,-2.36,7.526
Norton Meadow,"£55,000",Freehold,just over 3 ¼ acres,51.8531,-2.74651,"GPS coordinates: 51.8531, -2.74651",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/norton-meadow,Pont-y-pŵl,51.703,-3.041,16.311
Newton Meadow,"£75,000",Freehold,almost 4 ¾ acres,51.8537,-2.74989,"GPS coordinates: 51.8537, -2.74989",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/newton-meadow,Pont-y-pŵl,51.703,-3.041,16.226
Pleck Meadow,"£75,000",Freehold,around 5 acres,51.8537,-2.74989,"GPS coordinates: 51.8537, -2.74989",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/pleck-meadow,Pont-y-pŵl,51.703,-3.041,16.226
Elslow Coppice,"£245,000",Freehold,almost 21 acres,52.6035,-2.35852,"GPS coordinates: 52.6035, -2.35852",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/elslow-coppice,Wellington,52.7001,-2.5157,9.378
Coed Ochram,"£59,000",Freehold,almost 4½ acres,51.7875,-3.024,"GPS coordinates: 51.7875, -3.024",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-ochram,Pont-y-pŵl,51.703,-3.041,5.884
Coed Gobannium,"£65,000",Freehold,just under 5 acres,51.788,-3.024,"GPS coordinates: 51.788, -3.024",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-gobannium,Pont-y-pŵl,51.703,-3.041,5.918
Coed Wysg,"£45,000",Freehold,just over 3 acres,51.79,-3.026,"GPS coordinates: 51.79, -3.026",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-wysg,Pont-y-pŵl,51.703,-3.041,6.045
Coed Odyn,"£49,000",Freehold,4 acres,51.789,-3.028,"GPS coordinates: 51.789, -3.028",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-odyn,Pont-y-pŵl,51.703,-3.041,5.968
"Bluebell Field Wood, Sallow Coppice","£65,000",Freehold,over 4½ acres,52.4357,-2.84847,"GPS coordinates: 52.4357, -2.84847",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/bluebell-field-wood-sallow-coppice,Wellington,52.7001,-2.5157,23.001
"Old Newton Wood, Sallow Coppice","£79,000",Freehold,5¼ acres,52.4302,-2.85634,"GPS coordinates: 52.4302, -2.85634",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/old-newton-wood-sallow-coppice,Wellington,52.7001,-2.5157,23.504
Boundary Meadow,"£75,000",Freehold,over 3 ⅓ acres,52.02,-3.06384,"GPS coordinates: 52.02, -3.06384",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/boundary-meadow,Pont-y-pŵl,51.703,-3.041,21.924
Mount Meadow,"£99,000",Freehold,about 5 ⅓ acres,52.0202,-3.06675,"GPS coordinates: 52.0202, -3.06675",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/mount-meadow,Pont-y-pŵl,51.703,-3.041,21.944
Chase Wood,"£105,000",Freehold,about 5 ½ acres,50.7989,-2.63103,"GPS coordinates: 50.7989, -2.63103",https://www.woodlands.co.uk/buying-a-wood/central-england/chase-wood,Yeovil,50.9452,-2.637,10.112
Spinosa Wood,"£79,000",Freehold,nearly 4 acres,50.7995,-2.6333,"GPS coordinates: 50.7995, -2.6333",https://www.woodlands.co.uk/buying-a-wood/central-england/spinosa-wood,Yeovil,50.9452,-2.637,10.068
Blundstone Paddock,"£69,000",Freehold,5½ acres,52.5733,-2.96394,"GPS coordinates: 52.5733, -2.96394",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/blundstone-paddock,Wellington,52.7001,-2.5157,20.737
Hill View Meadow,"£59,000",Freehold,just under 5 acres,52.5712,-2.96625,"GPS coordinates: 52.5712, -2.96625",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/hill-view-meadow,Wellington,52.7001,-2.5157,20.886
Ivan's Wood,"£85,000",Freehold,just over 5 acres,52.5658,-2.97299,"GPS coordinates: 52.5658, -2.97299",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/ivans-wood,Wellington,52.7001,-2.5157,21.303
Brookshill Plantation,"£119,000",Freehold,nearly 8 ¼ acres,52.567,-2.97207,"GPS coordinates: 52.567, -2.97207",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/brookshill-plantation,Wellington,52.7001,-2.5157,21.232
Brookshill Nursery,"£85,000",Freehold,nearly 5 ½ acres,52.566,-2.97545,"GPS coordinates: 52.566, -2.97545",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/brookshill-nursery,Wellington,52.7001,-2.5157,21.39
Tasker Meadow,"£59,000",Freehold,over 3 ⅓ acres,52.5555,-3.0011,"GPS coordinates: 52.5555, -3.0011",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/tasker-meadow,Wellington,52.7001,-2.5157,22.677
Corndon Meadow,"£55,000",Freehold,about 3 acres,52.556,-3.00231,"GPS coordinates: 52.556, -3.00231",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/corndon-meadow,Wellington,52.7001,-2.5157,22.707
Steel Wood,"£89,000",Freehold,about 6 acres,53.5814,-0.554655,"GPS coordinates: 53.5814, -0.554655",https://www.woodlands.co.uk/buying-a-wood/east-anglia/steel-wood,Scunthorpe,53.5809,-0.6502,3.919
Cuckoo Wood,"£25,000",Freehold,1 ⅓ acres,52.9364,-2.7727,"GPS coordinates: 52.9364, -2.7727",https://www.woodlands.co.uk/buying-a-wood/north-wales/cuckoo-wood,Wrecsam,53.046,-2.993,11.887
Coed Ywen,"£59,000",Freehold,4½ acres,52.9369,-2.77365,"GPS coordinates: 52.9369, -2.77365",https://www.woodlands.co.uk/buying-a-wood/north-wales/coed-ywen,Wrecsam,53.046,-2.993,11.834
Ox Hill Wood,"£75,000",Freehold,about 3 ¾ acres,50.7394,-3.09136,"GPS coordinates: 50.7394, -3.09136",https://www.woodlands.co.uk/buying-a-wood/devon/ox-hill-wood,Taunton,51.019,-3.1,19.322
Marple Wood,"£49,000",Freehold,about 2 ⅓ acres,50.7272,-3.18643,"GPS coordinates: 50.7272, -3.18643",https://www.woodlands.co.uk/buying-a-wood/devon/marple-wood,Taunton,51.019,-3.1,20.511
Knapp Wood,"£45,000",Freehold,about 2 ⅓ acres,50.7253,-3.18929,"GPS coordinates: 50.7253, -3.18929",https://www.woodlands.co.uk/buying-a-wood/devon/knapp-wood,Taunton,51.019,-3.1,20.663
Cae Ewig,"£49,000",Freehold,3¾ acres,52.6707,-3.39998,"GPS coordinates: 52.6707, -3.39998",https://www.woodlands.co.uk/buying-a-wood/north-wales/cae-ewig,Wrecsam,53.046,-2.993,30.995
Coed Criafol Goch - Llangurig,"£49,000",Freehold,over 5 acres,52.4058,-3.5877,"GPS coordinates: 52.4058, -3.5877",https://www.woodlands.co.uk/buying-a-wood/north-wales/coed-criafol-goch-llangurig,Merthyr Tudful,51.743,-3.378,46.653
Warrenby Wood,"£96,000",Freehold,almost 7 ½ acres,53.7668,-0.56479,"GPS coordinates: 53.7668, -0.56479",https://www.woodlands.co.uk/buying-a-wood/northern-england/warrenby-wood,Scunthorpe,53.5809,-0.6502,13.312
Oberon Wood,"£95,000",Freehold,over 5 ¼ acres,53.8878,-1.37271,"GPS coordinates: 53.8878, -1.37271",https://www.woodlands.co.uk/buying-a-wood/northern-england/oberon-wood,Harrogate,53.9919,-1.5378,9.84
Spain Wood,"£95,000",Freehold,over 4 ¾ acres,53.8889,-1.37198,"GPS coordinates: 53.8889, -1.37198",https://www.woodlands.co.uk/buying-a-wood/northern-england/spain-wood,Harrogate,53.9919,-1.5378,9.804
Lysander Copse,"£65,000",Freehold,just over 3 acres,53.8893,-1.37101,"GPS coordinates: 53.8893, -1.37101",https://www.woodlands.co.uk/buying-a-wood/northern-england/lysander-copse,Harrogate,53.9919,-1.5378,9.812
Sun Copse,"£85,000",Freehold,over 4 ¼ acres,53.89,-1.38143,"GPS coordinates: 53.89, -1.38143",https://www.woodlands.co.uk/buying-a-wood/northern-england/sun-copse,Harrogate,53.9919,-1.5378,9.488
Berry Hill Wood,"£69,000",Freehold,about 3 ¾ acres,51.1421,-3.91964,"GPS coordinates: 51.1421, -3.91964",https://www.woodlands.co.uk/buying-a-wood/devon/berry-hill-wood,Neath,51.66,-3.81,36.094
Hobbs Wood,"£89,000",Freehold,about 4 ¾ acres,51.1428,-3.92189,"GPS coordinates: 51.1428, -3.92189",https://www.woodlands.co.uk/buying-a-wood/devon/hobbs-wood,Neath,51.66,-3.81,36.059
Rye Park Wood,"£95,000",Freehold,about 5 acres,51.1417,-3.92186,"GPS coordinates: 51.1417, -3.92186",https://www.woodlands.co.uk/buying-a-wood/devon/rye-park-wood,Neath,51.66,-3.81,36.134
