Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles
Coed Dyfi,"£59,000",Freehold,over 7 acres,52.56,-3.916,"GPS coordinates: 52.56, -3.916",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-dyfi,Wrecsam,53.046,-2.993,51.127
Coed Llyfnant,"£89,000",Freehold,almost 9 acres,52.559,-3.92,"GPS coordinates: 52.559, -3.92",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-llyfnant,Wrecsam,53.046,-2.993,51.299
Coed Ynys,"£39,000",Freehold,over 4¾ acres,52.557,-3.922,"GPS coordinates: 52.557, -3.922",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-ynys,Wrecsam,53.046,-2.993,51.453
Coed Gwalch y Pysgod,"£125,000",Freehold,12½ acres,52.559,-3.922,"GPS coordinates: 52.559, -3.922",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-gwalch-y-pysgod,Wrecsam,53.046,-2.993,51.362
Edgington Wood,"£119,000",Freehold,over 7 acres,50.9774,-3.90814,"GPS coordinates: 50.9774, -3.90814",https://www.woodlands.co.uk/buying-a-wood/devon/edgington-wood,Taunton,51.019,-3.1,35.258
Woolstone Wood,"£79,000",Freehold,about 4 ⅔ acres,51.0506,-3.99862,"GPS coordinates: 51.0506, -3.99862",https://www.woodlands.co.uk/buying-a-wood/devon/woolstone-wood,Taunton,51.019,-3.1,39.105
Bickle Wood,"£45,000",Freehold,about 2 ½ acres,51.0488,-4.00142,"GPS coordinates: 51.0488, -4.00142",https://www.woodlands.co.uk/buying-a-wood/devon/bickle-wood,Taunton,51.019,-3.1,39.221
Sampson Brake Wood,"£99,000",Freehold,nearly 6 acres,50.9503,-3.953,"GPS coordinates: 50.9503, -3.953",https://www.woodlands.co.uk/buying-a-wood/devon/sampson-brake-wood,Taunton,51.019,-3.1,37.405
Husk Wood,"£95,000",Freehold,about 4 acres,53.9976,-1.39407,"GPS coordinates: 53.9976, -1.39407",https://www.woodlands.co.uk/buying-a-wood/northern-england/husk-wood,Harrogate,53.9919,-1.5378,5.851
Kettle Copse,"£85,000",Freehold,over 4 acres,53.9993,-1.39168,"GPS coordinates: 53.9993, -1.39168",https://www.woodlands.co.uk/buying-a-wood/northern-england/kettle-copse,Harrogate,53.9919,-1.5378,5.957
Bosard Wood,"£85,000",Freehold,just over 4 acres,54.0023,-1.39093,"GPS coordinates: 54.0023, -1.39093",https://www.woodlands.co.uk/buying-a-wood/northern-england/bosard-wood,Harrogate,53.9919,-1.5378,6.008
Hootlet Wood,"£69,000",Freehold,over 3 ¾ acres,54.0051,-1.3925,"GPS coordinates: 54.0051, -1.3925",https://www.woodlands.co.uk/buying-a-wood/northern-england/hootlet-wood,Harrogate,53.9919,-1.5378,5.971
Oak Grove Wood,"£135,000",Freehold,about 7 ½ acres,50.8326,-3.94017,"GPS coordinates: 50.8326, -3.94017",https://www.woodlands.co.uk/buying-a-wood/devon/oak-grove-wood,Paignton,50.4353,-3.5625,32.054
Coulson Wood,"£65,000",Freehold,about 3 ¼ acres,50.8311,-3.93965,"GPS coordinates: 50.8311, -3.93965",https://www.woodlands.co.uk/buying-a-wood/devon/coulson-wood,Paignton,50.4353,-3.5625,31.954
Brook Meadow,"£145,000",Freehold,nearly 6 ¼ acres,51.1898,-4.15278,"GPS coordinates: 51.1898, -4.15278",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/brook-meadow,Llanelli,51.684,-4.163,34.149
Merriment Meadow,"£59,000",Freehold,about 3 ½ acres,51.0512,-4.13758,"GPS coordinates: 51.0512, -4.13758",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/merriment-meadow,Llanelli,51.684,-4.163,43.736
Spenser Meadow,"£55,000",Freehold,about 3 ¼ acres,51.0512,-4.1386,"GPS coordinates: 51.0512, -4.1386",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/spenser-meadow,Llanelli,51.684,-4.163,43.735
Allt Foel-fawr,"£139,000",Freehold,16 acres,51.9056,-4.3412,"GPS coordinates: 51.9056, -4.3412",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/allt-foel-fawr,Llanelli,51.684,-4.163,17.1
Allt Dwyrain,"£49,000",Freehold,5¾ acres,51.904,-4.343,"GPS coordinates: 51.904, -4.343",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/allt-dwyrain,Llanelli,51.684,-4.163,17.036
Allt Blaen-Eigiau,"£65,000",Freehold,nearly 6 acres,51.9077,-4.348,"GPS coordinates: 51.9077, -4.348",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/allt-blaen-eigiau,Llanelli,51.684,-4.163,17.361
Mere Brow Wood,"£186,000",Freehold,almost 13 acres,53.6531,-2.87796,"GPS coordinates: 53.6531, -2.87796",https://www.woodlands.co.uk/buying-a-wood/northern-england/mere-brow-wood,Chorley,53.653,-2.632,10.072
Worthy Wood,"£95,000",Freehold,about 5 acres,50.7622,-3.9734,"GPS coordinates: 50.7622, -3.9734",https://www.woodlands.co.uk/buying-a-wood/devon/worthy-wood,Plymouth,50.3714,-4.1422,27.999
Coed Lind,"£55,000",Freehold,almost 5½ acres,51.906,-4.352,"GPS coordinates: 51.906, -4.352",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-lind,Llanelli,51.684,-4.163,17.335
Dôl Twyi,"£79,000",Freehold,5 acres,51.787,-4.375,"GPS coordinates: 51.787, -4.375",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/dl-twyi,Llanelli,51.684,-4.163,11.53
Coed Glyncoch,"£99,000",Freehold,10¾ acres,51.81,-4.417,"GPS coordinates: 51.81, -4.417",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-glyncoch,Llanelli,51.684,-4.163,13.923
Allt Tre-hyrn,"£139,000",Freehold,13¾ acres,51.808,-4.421,"GPS coordinates: 51.808, -4.421",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/allt-tre-hyrn,Llanelli,51.684,-4.163,13.972
Coed Hendre,"£175,000",Freehold,15 acres,51.798,-4.422,"GPS coordinates: 51.798, -4.422",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-hendre,Llanelli,51.684,-4.163,13.595
Coed Trehyrne,"£59,000",Freehold,4¼ acres,51.803,-4.423,"GPS coordinates: 51.803, -4.423",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-trehyrne,Llanelli,51.684,-4.163,13.832
Polehays Meadow,"£65,000",Freehold,around 3 ½ acres,50.7606,-4.09936,"GPS coordinates: 50.7606, -4.09936",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/polehays-meadow,Plymouth,50.3714,-4.1422,26.957
Barton Meadow,"£85,000",Freehold,over 5 ⅓ acres,50.7615,-4.10027,"GPS coordinates: 50.7615, -4.10027",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/barton-meadow,Plymouth,50.3714,-4.1422,27.016
Coed Castell (Castle Wood),"£29,000",Leasehold,3 ¼ acres,53.298,-3.7515,"GPS coordinates: 53.298, -3.7515",https://www.woodlands.co.uk/buying-a-wood/north-wales/coed-castell-castle-wood,Rhyl,53.321,-3.48,11.32
Coed Euryn,"£29,000",Leasehold,2¾ acres,53.2978,-3.7532,"GPS coordinates: 53.2978, -3.7532",https://www.woodlands.co.uk/buying-a-wood/north-wales/coed-euryn,Rhyl,53.321,-3.48,11.392
Coed Cilwendeg,"£35,000",Freehold,just over 2 acres,52.037,-4.571,"GPS coordinates: 52.037, -4.571",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-cilwendeg,Llanelli,51.684,-4.163,29.966
Coed Sena,"£69,000",Freehold,just over 5 acres,52.038,-4.571,"GPS coordinates: 52.038, -4.571",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-sena,Llanelli,51.684,-4.163,30.022
Trehele Copse & Meadow,"£89,000",Freehold,about 4 ¼ acres,50.3378,-3.85345,"GPS coordinates: 50.3378, -3.85345",https://www.woodlands.co.uk/buying-a-wood/devon/trehele-copse-meadow,Plymouth,50.3714,-4.1422,12.939
Avon Stream Copse & Meadow,"£59,000",Freehold,about 2 ¾ acres,50.3381,-3.85426,"GPS coordinates: 50.3381, -3.85426",https://www.woodlands.co.uk/buying-a-wood/devon/avon-stream-copse-meadow,Plymouth,50.3714,-4.1422,12.9
Carminow Wood,"£139,000",Freehold,about 8 acres,50.762,-4.26738,"GPS coordinates: 50.762, -4.26738",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/carminow-wood,Plymouth,50.3714,-4.1422,27.541
Heggadon Wood,"£75,000",Freehold,about 4 ⅔ acres,50.7637,-4.26967,"GPS coordinates: 50.7637, -4.26967",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/heggadon-wood,Plymouth,50.3714,-4.1422,27.677
Bradaford Wood,"£49,000",Freehold,over 3 acres,50.7619,-4.26877,"GPS coordinates: 50.7619, -4.26877",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/bradaford-wood,Plymouth,50.3714,-4.1422,27.547
Ruby Wood,"£39,000",Freehold,about 2 ⅓ acres,50.7627,-4.27033,"GPS coordinates: 50.7627, -4.27033",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/ruby-wood,Plymouth,50.3714,-4.1422,27.615
Fellows Meadow,"£215,000",Freehold,nearly 14 ½ acres,50.7796,-4.29064,"GPS coordinates: 50.7796, -4.29064",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/fellows-meadow,Plymouth,50.3714,-4.1422,28.946
Dreckly Meadow,"£95,000",Freehold,over 5 acres,50.9332,-4.38872,"GPS coordinates: 50.9332, -4.38872",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/dreckly-meadow,Plymouth,50.3714,-4.1422,40.291
Oldfield Meadow,"£45,000",Freehold,about 2 ⅔ acres,50.7761,-4.29041,"GPS coordinates: 50.7761, -4.29041",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/oldfield-meadow,Plymouth,50.3714,-4.1422,28.708
Matchstick Meadow,"£75,000",Freehold,over 5 acres,50.7765,-4.29072,"GPS coordinates: 50.7765, -4.29072",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/matchstick-meadow,Plymouth,50.3714,-4.1422,28.738
Sandymoor Cross Wood,"£65,000",Freehold,nearly 4 acres,50.7644,-4.28292,"GPS coordinates: 50.7644, -4.28292",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/sandymoor-cross-wood,Plymouth,50.3714,-4.1422,27.847
Backalong Meadow,"£65,000",Freehold,about 4 acres,50.9295,-4.38869,"GPS coordinates: 50.9295, -4.38869",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/backalong-meadow,Plymouth,50.3714,-4.1422,40.044
Yellen Wood,"£59,000",Freehold,nearly 3 acres,50.6369,-4.47511,"GPS coordinates: 50.6369, -4.47511",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/yellen-wood,Plymouth,50.3714,-4.1422,23.464
Trewithan Wood,"£59,000",Freehold,about 2 ⅓ acres,50.6346,-4.47341,"GPS coordinates: 50.6346, -4.47341",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/trewithan-wood,Plymouth,50.3714,-4.1422,23.293
Trelorgan Wood,"£59,000",Freehold,2.75 acres,50.4765,-4.59489,"GPS coordinates: 50.4765, -4.59489",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/trelorgan-wood,Plymouth,50.3714,-4.1422,21.209
Hayloft Meadow,"£85,000",Freehold,almost 6 acres,54.5045,-1.98823,"GPS coordinates: 54.5045, -1.98823",https://www.woodlands.co.uk/buying-a-wood/planting-land-north/hayloft-meadow,Bishop Auckland,54.663,-1.676,16.62
Scargill Meadow,"£59,000",Freehold,around 4 ⅔ acres,54.5045,-1.99215,"GPS coordinates: 54.5045, -1.99215",https://www.woodlands.co.uk/buying-a-wood/planting-land-north/scargill-meadow,Bishop Auckland,54.663,-1.676,16.738
Wakeley Meadow,"£69,000",Freehold,over 4 ¼ acres,51.8781,-5.22149,"GPS coordinates: 51.8781, -5.22149",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/wakeley-meadow,Llanelli,51.684,-4.163,47.191
Temple Meadow,"£79,000",Freehold,nearly 5 ¼ acres,51.876,-5.22356,"GPS coordinates: 51.876, -5.22356",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/temple-meadow,Llanelli,51.684,-4.163,47.236
Iris Wood,"£75,000",Freehold,nearly 3 ½ acres,50.4392,-4.76678,"GPS coordinates: 50.4392, -4.76678",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/iris-wood,Plymouth,50.3714,-4.1422,27.901
Dene Bank Wood,"£65,000",Freehold,just over 4 ½ acres,54.7267,-1.27843,"GPS coordinates: 54.7267, -1.27843",https://www.woodlands.co.uk/buying-a-wood/northern-england/dene-bank-wood,Hartlepool,54.69,-1.21,3.727
Todhole Wood,"£85,000",Freehold,over 5 ¼ acres,54.9317,-2.71009,"GPS coordinates: 54.9317, -2.71009",https://www.woodlands.co.uk/buying-a-wood/cumbria/todhole-wood,Carlisle,54.8947,-2.9364,9.345
Dinmont Wood,"£56,000",Freehold,about 5.2 acres,54.9339,-2.71248,"GPS coordinates: 54.9339, -2.71248",https://www.woodlands.co.uk/buying-a-wood/cumbria/dinmont-wood,Carlisle,54.8947,-2.9364,9.296
Gilsland Wood,"£65,000",Freehold,nearly 4 ¼ acres,54.9335,-2.71832,"GPS coordinates: 54.9335, -2.71832",https://www.woodlands.co.uk/buying-a-wood/cumbria/gilsland-wood,Carlisle,54.8947,-2.9364,9.066
Derskelpin Wood,"£49,000",Freehold,just under 7 acres,54.9027,-4.6782,"GPS coordinates: 54.9027, -4.6782",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/derskelpin-wood,Bangor,54.66,-5.67,42.929
Annabaglish Wood,"£45,000",Freehold,over 6 ¼ acres,54.9031,-4.6837,"GPS coordinates: 54.9031, -4.6837",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/annabaglish-wood,Bangor,54.66,-5.67,42.738
Fullers Wood,"£79,000",Freehold,7 ¼ acres,55.6293,-3.0757,"GPS coordinates: 55.6293, -3.0757",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/fullers-wood,Leith,55.98,-3.17,24.506
Dyers Wood,"£55,000",Freehold,over 3 ¾ acres.,55.6291,-3.07932,"GPS coordinates: 55.6291, -3.07932",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/dyers-wood,Leith,55.98,-3.17,24.499
Gillings Wood,"£59,000",Freehold,over 4 ¼ acres,55.6304,-3.07839,"GPS coordinates: 55.6304, -3.07839",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/gillings-wood,Leith,55.98,-3.17,24.416
Tuckers Wood,"£69,000",Freehold,over 5 ½ acres,55.6311,-3.07916,"GPS coordinates: 55.6311, -3.07916",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/tuckers-wood,Leith,55.98,-3.17,24.363
Eight Mile Meadow,"£65,000",Freehold,just under 4 ¼ acres,55.8226,-3.2844,"GPS coordinates: 55.8226, -3.2844",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/eight-mile-meadow,Leith,55.98,-3.17,11.743
Silverburn Meadow,"£55,000",Freehold,just over 3 ½ acres,55.8236,-3.28376,"GPS coordinates: 55.8236, -3.28376",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/silverburn-meadow,Leith,55.98,-3.17,11.67
Fingal Wood,"£45,000",Freehold,over 3 ¼ acres,55.9527,-3.72525,"GPS coordinates: 55.9527, -3.72525",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/fingal-wood,Falkirk,56.0011,-3.7835,4.032
Kilglarry Wood,"£65,000",Freehold,nearly 4 ¾ acres,54.9494,-6.34397,"GPS coordinates: 54.9494, -6.34397",https://www.woodlands.co.uk/buying-a-wood/northern-ireland/kilglarry-wood,Belfast,54.5964,-5.93,29.446
Buckthorn Wood,"£65,000",Freehold,almost 3½ acres,54.245,-7.558,"GPS coordinates: 54.245, -7.558",https://www.woodlands.co.uk/buying-a-wood/northern-ireland/buckthorn-wood,Belfast,54.5964,-5.93,69.803
Gartmore Wood,"£229,000",Freehold,just under 27 acres,56.1453,-4.3611,"GPS coordinates: 56.1453, -4.3611",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/gartmore-wood,Cumbernauld,55.945,-3.994,19.805
Tirkeeran Wood,"£85,000",Freehold,over 4½ acres,54.937,-7.22472,"GPS coordinates: 54.937, -7.22472",https://www.woodlands.co.uk/buying-a-wood/northern-ireland/tirkeeran-wood,Belfast,54.5964,-5.93,56.719
Netherley Wood,"£54,500",Freehold,nearly 4 ½ acres,57.0332,-2.25315,"GPS coordinates: 57.0332, -2.25315",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/netherley-wood,Aberdeen,57.15,-2.11,9.695
Mungo Wood,"£75,000",Freehold,just over 4 acres,56.5056,-5.38972,"GPS coordinates: 56.5056, -5.38972",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/mungo-wood,Paisley,55.8456,-4.4239,58.815
Adhamh Wood,"£75,000",Freehold,just under 4 ¼ acres.,56.5056,-5.38972,"GPS coordinates: 56.5056, -5.38972",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/adhamh-wood,Paisley,55.8456,-4.4239,58.815
Tillycairn Wood,"£55,000",Freehold,about 5 acres,57.1893,-2.56793,"GPS coordinates: 57.1893, -2.56793",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/tillycairn-wood,Aberdeen,57.15,-2.11,17.367
Ministers Moss Wood,"£79,000",Freehold,over 7 ¾ acres,57.1905,-2.5668,"GPS coordinates: 57.1905, -2.5668",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/ministers-moss-wood,Aberdeen,57.15,-2.11,17.338
Ogilvie Wood,"£59,000",Freehold,about 4 ½ acres.,57.1914,-2.57171,"GPS coordinates: 57.1914, -2.57171",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/ogilvie-wood,Aberdeen,57.15,-2.11,17.53
Garth Wood,"£59,500",Freehold,about 7 acres,57.2626,-2.21814,"GPS coordinates: 57.2626, -2.21814",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/garth-wood,Aberdeen,57.15,-2.11,8.769
Breena Wood,"£45,000",Freehold,nearly 4 ¾ acres,57.2622,-2.2227,"GPS coordinates: 57.2622, -2.2227",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/breena-wood,Aberdeen,57.15,-2.11,8.825
Elrick Wood,"£45,500",Freehold,nearly 4½ acres,57.2637,-2.21925,"GPS coordinates: 57.2637, -2.21925",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/elrick-wood,Aberdeen,57.15,-2.11,8.856
Shackleton Wood,"£65,500",Freehold,about 6.25 acres,57.5359,-2.1444,"GPS coordinates: 57.5359, -2.1444",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/shackleton-wood,Aberdeen,57.15,-2.11,26.694
Blaine Wood,"£79,000",Freehold,over 7 ½ acres,57.2902,-3.8347,"GPS coordinates: 57.2902, -3.8347",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/-blaine-wood,Aberdeen,57.15,-2.11,65.239
Fraoch Wood,"£77,000",Freehold,about 8 acres,57.293,-3.8435,"GPS coordinates: 57.293, -3.8435",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/fraoch-wood,Aberdeen,57.15,-2.11,65.591
Randolph Wood,"£35,500",Freehold,almost 2¾ acres,57.5015,-3.70157,"GPS coordinates: 57.5015, -3.70157",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/randolph-wood,Aberdeen,57.15,-2.11,64.141
Decla Wood,"£65,000",Freehold,just over 5 ¼ acres,57.6079,-3.50615,"GPS coordinates: 57.6079, -3.50615",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/decla-wood,Aberdeen,57.15,-2.11,60.869
Lundy Wood,"£65,000",Freehold,,57.6112,-3.50709,"GPS coordinates: 57.6112, -3.50709",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/lundy-wood,Aberdeen,57.15,-2.11,61.015
Balgair Wood,"£215,000",Freehold,just under 36 acres,58.4694,-3.54625,"GPS coordinates: 58.4694, -3.54625",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/balgair-wood,Aberdeen,57.15,-2.11,105.376
